INSTITUTE_NAME,DEPARTMENT,RANK_PREDICTOR,CATEGORY
IIT (BHU) Varanasi,Computer Science & Engineering,562,SC
IIT Madras,Physics,564,ST
IIT Delhi,Engineering Physics,565,ST
IIT Kharagpur,Civil Engineering,566,SC
ISM Dhanbad,Computer Engineering,570,ST
IIT Delhi,Chemical Engineering,570,SC
IIT Kharagpur,Computer Science & Engineering,577,GENERAL
IIT Kharagpur,Metallurgical and Materials Engineering *,577,ST
IIT Guwahati,Chemical Technology,582,ST
IIT Madras,Aerospace *,588,SC
IIT Kharagpur,Manufacturing Science (M. Tech in Industrial Engineering & Management),590,ST
IIT Kharagpur,Mining Engineering,591,ST
ISM Dhanbad,Computer Science & Engineering,596,ST
IIT Roorkee,Civil Engineering,598,SC
IIT Madras,Metallurgical & Material Engineering,599,ST
IIT (BHU) Varanasi,Chemical Engineering,600,ST
IIT Madras,Electrical Engineering,602,GENERAL
IIT Madras,Electrical Engineering *,602,OBC
IIT Kharagpur,Metallurgical Engineering,604,ST
ISM Dhanbad,Petroleum (with M. Tech in Petroleum Management),605,ST
IIT Delhi,Textile Technology,607,ST
IIT Kharagpur,Industrial Engineering,609,ST
IIT Guwahati,Computer Engineering,610,OBC
IIT Kharagpur,Electrical Engineering *,616,OBC
IIT Kharagpur,Industrial Engineering (M. Tech in Industrial Engineering & Management),619,ST
IIT Madras,Engineering Design(Biomedical),620,ST
IIT Madras,Civil (Infrastructural),621,SC
IIT Kharagpur,Civil (any specialization),621,SC
ISM Dhanbad,Chemical Engineering,622,ST
IIT Bombay,Mechanical (M. Tech in Computer Aided Design),624,GENERAL
IIT Kharagpur,Electronics and Electrical Communication Engineering,626,OBC
IIT Patna,Chemical Science and Technology,626,ST
IIT Kharagpur,Manufacturing Engineering,626,ST
IIT Madras,Civil (any specialization),628,SC
IIT Delhi,Mechanical Engineering,630,GENERAL
IIT Guwahati,Engineering Physics,630,ST
IIT Hydrabad,Computer Engineering,633,OBC
IIT Madras,Mechanical (Intelligent Manufacturing),634,OBC
IIT (BHU) Varanasi,Mechanical Engineering,635,SC
IIT Kharagpur,Ocean Engineering & Naval Architecture,636,ST
IIT Madras,Mechanical (Product Design),642,OBC
IIT Delhi,Mathematics & Computing,646,OBC
IIT Guwahati,Electronics & Electrical Engineering,648,SC
IIT Kharagpur,Quality Engineering Design& Manufacturing,649,ST
IIT Delhi,Production Engineering,658,SC
ISM Dhanbad,Mining Engineering,664,ST
IIT Guwahati,Electronics & Communication Engineering,666,SC
IIT Kharagpur,Biotechnology & Biochemical Engineering,667,ST
IIT Kharagpur,Aerospace,670,SC
IIT Kharagpur,Mining Engineering,673,ST
IIT Hydrabad,Mechanical Engineering,673,SC
IIT Delhi,Chemical Engineering,674,SC
ISM Dhanbad,Petroleum Engineering,676,ST
IIT (BHU) Varanasi,Engineering Physics,685,ST
IIT Guwahati,Design,691,ST
IIT Madras,Chemical Engineering,694,SC
IIT Madras,Mechanical (Thermal Engineering),694,OBC
IIT Hydrabad,Engineering Science,696,ST
IIT Hydrabad,Electrical Engineering,696,SC
