INSTITUTE_NAME,DEPARTMENT,RANK_PREDICTOR,CATEGORY
IIT Madras,Aerospace *,588,SC
IIT Kharagpur,Manufacturing Science (M. Tech in Industrial Engineering & Management),590,ST
ISM Dhanbad,Computer Science & Engineering,596,ST
IIT Guwahati,Engineering Physics,598,ST
IIT Hydrabad,Mechanical Engineering,599,OBC
IIT Delhi,Textile Technology,599,SC
IIT Madras,Metallurgical & Material Engineering,599,ST
ISM Dhanbad,Chemical Engineering,601,ST
IIT Kharagpur,Industrial Engineering,603,SC
IIT Hydrabad,Electrical Engineering,604,SC
ISM Dhanbad,Petroleum (with M. Tech in Petroleum Management),605,ST
IIT Kharagpur,Biotechnology & Biochemical Engineering,613,ST
IIT Kharagpur,Manufacturing Engineering,616,ST
IIT Guwahati,Civil Engineering,618,SC
IIT Kharagpur,Instrumentation Engineering,619,SC
IIT Kharagpur,Industrial Engineering (M. Tech in Industrial Engineering & Management),619,ST
IIT Madras,Engineering Design(Biomedical),620,ST
IIT Kanpur,Economics,623,ST
IIT Bombay,Mechanical (M. Tech in Computer Integrated Manufacturing),625,GENERAL
IIT Kharagpur,Aerospace Engineering,628,OBC
IIT Madras,Mechanical (Thermal Engineering),629,OBC
IIT (BHU) Varanasi,Metallurgical Engineering,632,ST
IIT (BHU) Varanasi,Material Science,634,ST
IIT Hydrabad,Computer Engineering,635,GENERAL
IIT Delhi,Biochemical,642,ST
IIT Jodhpur,Systems Science,642,ST
IIT Kanpur,Aerospace Engineering,644,OBC
ISM Dhanbad,Mechanical Engineering,647,SC
IIT Kharagpur,Quality Engineering Design& Manufacturing,649,ST
IIT (BHU) Varanasi,Civil Engineering,652,SC
IIT Kharagpur,Ocean Engineering & Naval Architecture Engineering,655,ST
IIT Madras,Electrical Engineering,657,GENERAL
IIT Kanpur,Mathematics & Scientific Computing,660,GENERAL
IIT Madras,Metallurgical Engineering,660,SC
IIT (BHU) Varanasi,Mechanical Engineering,661,SC
IIT Jodhpur,Electrical Engineering,667,SC
IIT (BHU) Varanasi,Mathematics & Computing,668,ST
IIT Kanpur,Mathematics & Scientific Computing,669,ST
IIT Kharagpur,Mining Engineering,673,ST
IIT Guwahati,Electronics & Communication Engineering,673,OBC
IIT Hydrabad,Civil Engineering,676,SC
IIT Bhubaneshwar,Mechanical Engineering,680,SC
IIT Bhubaneshwar,Computer Engineering,681,SC
IIT Madras,Naval Arch. & Ocean Engineering,691,SC
IIT (BHU) Varanasi,Metallurgical Engineering,695,ST
IIT Madras,Biological Engineering,707,ST
IIT Delhi,Biochemical,710,SC
IIT Bombay,Engineering Physics *,715,SC
IIT Madras,Civil Engineering *,715,OBC
IIT Hydrabad,Engineering Physics,716,ST
IIT Roorkee,Biotechnology,717,ST
IIT Bombay,Energy (M. Tech in Energy Systems) Engineering,721,SC
IIT Delhi,Chemical Engineering,725,GENERAL
IIT Madras,Aerospace,725,OBC
IIT Kanpur,Chemical Engineering,726,OBC
IIT Bombay,Chemical Engineering,727,GENERAL
ISM Dhanbad,Mining Engineering,727,ST
IIT Kanpur,Mathematics & Scientific Computing,729,OBC
IIT (BHU) Varanasi,Ceramic Engineering,730,ST
IIT Guwahati,Chemical Engineering,733,SC
IIT Roorkee,Physics,734,ST
IIT Gandhinagar,Electrical Engineering,735,SC
IIT (BHU) Varanasi,Mechanical Engineering,735,OBC
IIT Kanpur,Materials Science Engineering,736,SC
ISM Dhanbad,Mining Machinery,738,ST
ISM Dhanbad,Mineral Engineering,739,ST
IIT Guwahati,Computer Engineering,739,GENERAL
IIT (BHU) Varanasi,Electrical Engineering,740,OBC
IIT Roorkee,Chemical Engineering,743,SC
IIT Ropar,Electrical Engineering,746,SC
IIT Kharagpur,Agriculture & Food *,747,ST
IIT Madras,Engineering Design(Automotive),749,SC
IIT (BHU) Varanasi,Mining Engineering,749,ST
IIT Kharagpur,Mathematics & Computing,754,ST
IIT (BHU) Varanasi,Computer Engineering,754,GENERAL
IIT Guwahati,Mathematics Computing,756,OBC
IIT Madras,Chemical Engineering,758,SC
IIT (BHU) Varanasi,Computer Science & Engineering,761,OBC
IIT Madras,Biological Sciences,764,ST
IIT Kharagpur,Mining Safety Engineering,765,ST
IIT Mandi,Computer Engineering,765,SC
IIT Guwahati,Mathematics Computing,771,SC
IIT Kharagpur,Mining Engineering,772,SC
IIT Patna,Computer Science and Engineering,782,SC
ISM Dhanbad,Environmental Engineering,785,ST
IIT Bombay,Energy (M. Tech in Energy Systems) Engineering,790,OBC
ISM Dhanbad,Mining Engineering with MBA,790,ST
IIT Hydrabad,Chemical Engineering,793,SC
IIT (BHU) Varanasi,Civil with M. Tech in Structural Engineering,794,SC
IIT Madras,Mechanical (Product Design),795,GENERAL
IIT Kharagpur,Architecture,795,ST
IIT (BHU) Varanasi,Electrical (Power Electronics) Engineering,798,SC
IIT Roorkee,Production Engineering,799,SC
IIT Kanpur,Physics,799,ST
IIT Kharagpur,Biotechnology & Biochemical Engineering,801,ST
IIT (BHU) Varanasi,Ceramic Engineering,803,ST
IIT (BHU) Varanasi,Electronics Engineering,803,OBC
IIT Kharagpur,Instrumentation Engineering,806,OBC
IIT Kharagpur,Chemistry,806,ST
IIT Kharagpur,Electronics and Electrical Communication Engineering,809,GENERAL
IIT Bombay,Engineering Physics *,809,OBC
ISM Dhanbad,Mining Engineering,810,SC
IIT Roorkee,Polymer Science Technology,812,ST
IIT Kharagpur,Industrial Engineering (M. Tech in Industrial Engineering & Management),820,SC
IIT Jodhpur,Biologically-inspired,820,ST
IIT Kharagpur,Mathematics & Computing,824,SC
IIT Delhi,Production Engineering,826,GENERAL
IIT (BHU) Varanasi,Bioengineering,830,ST
IIT Delhi,Production Engineering,837,OBC
IIT Roorkee,Process Engineering with MBA,838,ST
ISM Dhanbad,Electrical Engineering,838,SC
IIT (BHU) Varanasi,Mathematics & Computing,840,OBC
IIT indore,Mechanical Engineering,840,SC
IIT Roorkee,Applied Mathematics,842,ST
IIT Gandhinagar,Civil Engineering,845,SC
IIT (BHU) Varanasi,Biochemical Engineering,845,ST
IIT Roorkee,Geological Technology,848,ST
IIT Bhubaneshwar,Electrical Engineering,854,SC
ISM Dhanbad,Mineral Engineering (with M.Tech in Mineral),854,ST
ISM Dhanbad,Computer Engineering,855,SC
IIT Roorkee,Civil Engineering,856,OBC
IIT Delhi,Engineering Physics,859,GENERAL
ISM Dhanbad,Civil Engineering,873,SC
IIT Guwahati,Chemical Technology,878,SC
IIT Roorkee,Electronics & Communication Engineering,878,GENERAL
IIT indore,Electrical Engineering,880,SC
IIT Patna,Computer Science and Engineering,881,OBC
IIT Kharagpur,Metallurgical Engineering,883,SC
IIT Kharagpur,Ocean Engineering & Naval Architecture Engineering,892,SC
IIT Jodhpur,Mechanical Engineering,895,OBC
IIT Kharagpur,Civil Engineering,904,OBC
IIT (BHU) Varanasi,Material Science,906,SC
IIT Bhubaneshwar,Computer Engineering,907,OBC
ISM Dhanbad,Computer Science & Engineering,912,SC
IIT Bhubaneshwar,Civil Engineering,919,SC
IIT Hydrabad,Engineering Science,920,SC
IIT Kanpur,Physics,926,SC
IIT Kharagpur,Chemical Engineering,926,OBC
IIT Bombay,Energy (M. Tech in Energy Systems) Engineering,932,GENERAL
IIT Kharagpur,Manufacturing Science (M. Tech in Industrial Engineering & Management),935,SC
IIT (BHU) Varanasi,Chemical Engineering,936,SC
IIT Patna,Mechanical Engineering,938,SC
IIT Delhi,Civil Engineering,942,GENERAL
ISM Dhanbad,Electronics & Communication Engineering,952,OBC
IIT Kharagpur,Mathematics & Computing,955,OBC
IIT Guwahati,Engineering Physics,962,SC
IIT Bombay,Engineering Physics *,963,GENERAL
IIT Madras,Engineering Physics,964,OBC
ISM Dhanbad,Computer Engineering,968,OBC
IIT Kharagpur,Chemistry,971,SC
IIT Kharagpur,Mechanical Engineering,971,GENERAL
IIT Mandi,Mechanical  Engineering,972,SC
IIT Patna,Electrical Engineering,973,SC
IIT Kharagpur,Metallurgical and Materials Engineering *,988,SC
IIT Madras,Metallurgical & Material Engineering,990,SC
IIT Madras,Civil (Infrastructural),992,OBC
IIT Mandi,Electrical Engineering,995,SC
IIT Bombay,Metallurgical Science,996,OBC
IIT Delhi,Chemical Engineering,998,OBC
ISM Dhanbad,Electronics & Communication Engineering,1000,SC
IIT Hydrabad,Engineering Physics,1006,SC
IIT Madras,Electrical Engineering *,1008,GENERAL
IIT Bombay,Metallurgical and Materials Engineering *,1010,SC
IIT Madras,Engineering Design(Biomedical),1012,SC
IIT Madras,Biological Engineering,1015,SC
IIT Kanpur,Chemical Engineering,1018,GENERAL
IIT Bombay,Metallurgical and Materials Engineering *,1025,SC
IIT Delhi,Engineering Physics,1030,OBC
IIT Madras,Civil (any specialization),1031,OBC
IIT Madras,Mechanical (Intelligent Manufacturing),1033,GENERAL
IIT Gandhinagar,Electrical Engineering,1038,OBC
IIT Roorkee,Electrical Engineering,1039,GENERAL
IIT Kharagpur,Manufacturing Engineering,1047,SC
IIT Bhubaneshwar,Electrical Engineering,1059,OBC
IIT indore,Computer Engineering,1068,OBC
IIT Kharagpur,Aerospace,1073,OBC
IIT Kanpur,Mathematics & Scientific Computing,1077,SC
IIT Hydrabad,Civil Engineering,1083,OBC
IIT Kharagpur,Agricultural & Food Engineering,1086,SC
IIT Mandi,Computer Engineering,1094,OBC
IIT Kanpur,Economics,1099,GENERAL
IIT Madras,Naval Architecture & Ocean Engineering,1108,SC
IIT Madras,Physics,1112,SC
IIT Kharagpur,Electrical Engineering *,1115,GENERAL
IIT Roorkee,Mechanical Engineering,1117,GENERAL
IIT Ropar,Mechanical Engineering,1119,OBC
IIT Roorkee,Biotechnology,1123,SC
IIT Madras,Engineering Design(Automotive),1135,OBC
IIT Kharagpur,Quality Engineering Design& Manufacturing,1144,SC
IIT (BHU) Varanasi,Mechanical Engineering,1147,OBC
IIT Guwahati,Electronics & Communication Engineering,1149,GENERAL
IIT Kharagpur,Civil (any specialization),1150,OBC
IIT Guwahati,Biotechnology,1159,SC
IIT Kharagpur,Biotechnology & Biochemical Engineering,1167,SC
IIT Ropar,Electrical Engineering,1170,OBC
IIT (BHU) Varanasi,Mining Engineering,1175,SC
IIT Roorkee,Metallurgical Engineering,1191,SC
IIT Kanpur,Materials Science Engineering,1197,OBC
IIT (BHU) Varanasi,Mathematics & Computing,1204,SC
IIT Patna,Mechanical Engineering,1206,OBC
IIT Madras,Naval Architecture & Ocean Engineering *,1208,SC
IIT Kharagpur,Economics,1210,SC
ISM Dhanbad,Mechanical Engineering,1217,OBC
IIT (BHU) Varanasi,Engineering Physics,1220,SC
IIT (BHU) Varanasi,Electrical (Power Electronics) Engineering,1223,OBC
IIT Madras,Chemical Engineering,1227,GENERAL
IIT Kharagpur,Ocean Engineering & Naval Architecture,1231,SC
IIT Guwahati,Mathematics Computing,1238,GENERAL
IIT Bombay,Metallurgical Science,1243,GENERAL
IIT Roorkee,Production Engineering,1245,OBC
IIT Guwahati,Civil Engineering,1246,OBC
ISM Dhanbad,Chemical Engineering,1249,SC
IIT Hydrabad,Electrical Engineering,1249,GENERAL
IIT Gandhinagar,Mechanical Engineering,1254,OBC
IIT Patna,Chemical Science and Technology,1270,SC
IIT Bhubaneshwar,Mechanical Engineering,1272,OBC
IIT Roorkee,Chemical Engineering,1273,OBC
IIT Kharagpur,Instrumentation Engineering,1277,GENERAL
IIT Jodhpur,Computer Engineering,1278,OBC
ISM Dhanbad,Electronics & Instrumentation Engineering,1286,SC
