Restaurant_Name,URLs
Cake N Bake,https://www.zomato.com/mumbai/cake-n-bake-kopar-khairane-navi-mumbai
The Fatty Bao,https://www.zomato.com/mumbai/the-fatty-bao-linking-road-bandra-west
HOP : House of Party,https://www.zomato.com/mumbai/hop-house-of-party-andheri-lokhandwala
Light House Cafe,https://www.zomato.com/mumbai/light-house-cafe-worli
Merwans Cake Stop,https://www.zomato.com/mumbai/merwans-cake-stop-near-andheri-west-station
Hotel Sai Palace,https://www.zomato.com/mumbai/hotel-sai-palace-mahakali
Barrel & Co.,https://www.zomato.com/mumbai/barrel-co-andheri-lokhandwala
Seven Kitchens - The St. Regis Mumbai,https://www.zomato.com/mumbai/seven-kitchens-the-st-regis-mumbai-lower-parel
Rajdhani,https://www.zomato.com/mumbai/rajdhani-ghatkopar-west
Indiana Water's,https://www.zomato.com/mumbai/indiana-waters-nerul-navi-mumbai
Dirty Buns,https://www.zomato.com/mumbai/dirty-buns-lower-parel
Kasbah Grand,https://www.zomato.com/mumbai/kasbah-grand-goregaon-west
Gallops,https://www.zomato.com/mumbai/gallops-mahalaxmi
TBC - The Boat Club,https://www.zomato.com/mumbai/tbc-the-boat-club-dahisar-east
The 12th Floor,https://www.zomato.com/mumbai/the-12th-floor-goregaon-west
Coffee Culture,https://www.zomato.com/mumbai/coffee-culture-hill-road-bandra-west
Dragonfly Experience,https://www.zomato.com/mumbai/dragonfly-experience-marol
Candies,https://www.zomato.com/mumbai/candies-pali-hill-bandra-west
Hakkasan,https://www.zomato.com/mumbai/hakkasan-linking-road-bandra-west
Cafe Mondegar,https://www.zomato.com/mumbai/cafe-mondegar-colaba
Ovenfresh,https://www.zomato.com/mumbai/ovenfresh-dadar-shivaji-park
SpiceKlub,https://www.zomato.com/mumbai/spiceklub-lower-parel
Mahesh Lunch Home,https://www.zomato.com/mumbai/mahesh-lunch-home-juhu
Skky - Ramada Powai Hotel and Convention Centre,https://www.zomato.com/mumbai/skky-ramada-powai-hotel-and-convention-centre-powai
Bombay Salad Co.,https://www.zomato.com/bombaysalad
Radha Krishna,https://www.zomato.com/mumbai/radha-krishna-near-andheri-west-station
By The Bae - Kitchen And Bar,https://www.zomato.com/mumbai/by-the-bae-kitchen-and-bar-versova
Toast & Tonic,https://www.zomato.com/mumbai/toast-tonic-bandra-kurla-complex
Oye Kake,https://www.zomato.com/mumbai/oye-kake-fort
Cafe Trofima,https://www.zomato.com/mumbai/cafe-trofima-dadar-shivaji-park
Eva's Pizza,https://www.zomato.com/mumbai/evas-pizza-marol
O Pedro,https://www.zomato.com/mumbai/o-pedro-bandra-kurla-complex
Chili's American Grill & Bar,https://www.zomato.com/mumbai/chilis-american-grill-bar-powai
Olive Bar & Kitchen,https://www.zomato.com/mumbai/olive-bar-kitchen-khar
Masala Mastee,https://www.zomato.com/mumbai/masala-mastee-borivali-west
Plum by Bent Chair,https://www.zomato.com/mumbai/plum-by-bent-chair-lower-parel
5 Spice,https://www.zomato.com/mumbai/5-spice-sakinaka
B Bhagat Tarachand,https://www.zomato.com/mumbai/b-bhagat-tarachand-marine-lines
Hoppipola,https://www.zomato.com/mumbai/hoppipola-powai
Autobahn,https://www.zomato.com/mumbai/autobahn-ghatkopar-west
Garage Inc. Public House,https://www.zomato.com/mumbai/garage-inc-public-house-colaba
Dara's Dhaba,https://www.zomato.com/darasdhaba
Poco Loco,https://www.zomato.com/mumbai/poco-loco-khar
Lotus Cafe - JW Marriott Mumbai Juhu,https://www.zomato.com/mumbai/lotus-cafe-jw-marriott-mumbai-juhu-juhu
Qualia,https://www.zomato.com/mumbai/qualia-lower-parel
Qualia,https://www.zomato.com/mumbai/qualia-lower-parel
Huber & Holly,https://www.zomato.com/mumbai/huber-holly-juhu
Gughan Supreme South Indian,https://www.zomato.com/mumbai/gughan-supreme-south-indian-marine-lines
Pritam Da Dhaba,https://www.zomato.com/mumbai/pritam-da-dhaba-dadar-east
Barrel Mansion,https://www.zomato.com/mumbai/barrel-mansion-vile-parle-east
Salt Water Cafe,https://www.zomato.com/SaltWaterCafeBandra
One Step Up Bar & Grill,https://www.zomato.com/mumbai/one-step-up-bar-grill-tardeo
Harry's Bar + Cafe,https://www.zomato.com/mumbai/harrys-bar-cafe-powai
Hotel Ram Ashraya,https://www.zomato.com/mumbai/hotel-ram-ashraya-matunga-east
Gadda Da Vida - Novotel,https://www.zomato.com/mumbai/gadda-da-vida-novotel-juhu
Chimichurri,https://www.zomato.com/mumbai/chimichurri-marol
Viper Air Bar,https://www.zomato.com/mumbai/viper-air-bar-veera-desai-area
House Of Thanos,https://www.zomato.com/mumbai/house-of-thanos-linking-road-bandra-west
Arth,https://www.zomato.com/mumbai/arth-khar
18th Century Rooftop Restro & Bar,https://www.zomato.com/mumbai/18th-century-rooftop-restro-bar-andheri-lokhandwala
Arth,https://www.zomato.com/mumbai/arth-khar
Madeira & Mime,https://www.zomato.com/mumbai/madeira-mime-powai
18th Century Rooftop Restro & Bar,https://www.zomato.com/mumbai/18th-century-rooftop-restro-bar-andheri-lokhandwala
Piku Chiku,https://www.zomato.com/mumbai/piku-chiku-2-parel
Khyber,https://www.zomato.com/mumbai/khyber-fort
Hotel Sai Palace Garden,https://www.zomato.com/mumbai/hotel-sai-palace-garden-mira-road
Urban Tadka,https://www.zomato.com/mumbai/urban-tadka-1-7-bungalows
7 Scripts,https://www.zomato.com/mumbai/7-scripts-kandivali-west
Crave Junction,https://www.zomato.com/mumbai/crave-junction-kandivali-west
Butter Chicken Factory,https://www.zomato.com/mumbai/butter-chicken-factory-pali-hill-bandra-west
Pepper & Pint,https://www.zomato.com/mumbai/pepper-pint-juhu
Thug-Lyf,https://www.zomato.com/mumbai/thug-lyf-kasarvadavli-thane-west-thane
The Butler And The Bayleaf,https://www.zomato.com/mumbai/the-butler-and-the-bayleaf-juhu
Gajalee,https://www.zomato.com/mumbai/gajalee-vile-parle-east
Mantra Dining Bar,https://www.zomato.com/mumbai/mantra-dining-bar-powai
Vedge,https://www.zomato.com/mumbai/vedge-andheri-lokhandwala
Mastee,https://www.zomato.com/mumbai/mastee-borivali-west
Sancho's,https://www.zomato.com/mumbai/sanchos-khar
The Appetite Momos,https://www.zomato.com/mumbai/the-appetite-momos-naupada-thane-west-thane
Banjara Dhaba,https://www.zomato.com/mumbai/banjara-dhaba-borivali-west
Santé Spa Cuisine,https://www.zomato.com/mumbai/santé-spa-cuisine-1-bandra-kurla-complex
Arbab,https://www.zomato.com/mumbai/arbab-linking-road-bandra-west
